# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-04-22 15:42:39.588
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23.473012,0.1616,-0.0894,0.2389,0.30
23.475257,-0.0796,-0.0201,0.0496,0.10
23.489805,-0.2458,-0.0317,0.0714,0.26
23.505703,-0.2752,0.0332,0.2966,0.41
23.505831,-0.1159,0.0222,0.6426,0.65
23.521862,0.0918,0.0414,0.8972,0.90
23.524883,0.2846,0.0582,0.9119,0.96
23.538192,0.3477,0.0922,0.7577,0.84
23.554328,0.3636,0.1288,0.4532,0.60
23.555183,0.3386,0.1532,0.0542,0.38
23.570901,0.3900,0.1643,-0.3444,0.55
23.575167,0.6091,0.1711,-0.6946,0.94
23.587203,0.9567,0.2024,-1.0143,1.41
23.603955,1.2496,0.2680,-1.2439,1.78
23.606306,1.4388,0.3920,-1.4050,2.05
23.621534,1.5857,0.5220,-1.4863,2.24
23.624761,1.6707,0.6341,-1.4097,2.28
23.637902,1.7277,0.7044,-1.1242,2.18
23.654234,1.8007,0.7621,-0.8350,2.13
23.655003,1.8856,0.7409,-0.5848,2.11
23.672075,1.9537,0.7180,-0.5005,2.14
23.675117,2.0428,0.6794,-0.8165,2.30
23.689186,2.1138,0.5636,-1.3982,2.60
23.705347,2.1074,0.4056,-1.7392,2.76
23.705484,1.9657,0.3587,-1.6640,2.60
23.721293,1.8473,0.3981,-1.5126,2.42
23.725026,1.8777,0.5651,-1.2879,2.35
23.737107,2.0663,0.7825,-1.2179,2.52
23.753378,2.3306,0.9208,-1.0174,2.70
23.754970,2.6554,0.9708,-0.5756,2.89
23.769513,3.0309,1.0281,-0.1657,3.20
23.775177,3.3750,0.9975,-0.0460,3.52
23.785405,3.4868,0.6882,-0.2690,3.56
23.801935,2.9274,-0.4102,-0.7079,3.04
23.805129,1.4068,-2.6251,-1.3983,3.29
23.818665,-0.8980,-5.5592,-1.5097,5.83
23.824802,-3.2771,-8.3344,-2.2669,9.24
23.835666,-4.9215,-10.0093,-6.1310,12.73
23.852382,-5.2683,-8.2345,-10.2308,14.15
23.854516,-4.5770,-3.3194,-5.5309,7.91
23.868833,-2.8570,0.8931,1.2879,3.26
23.875018,-0.8265,3.3136,4.4725,5.63
23.885043,0.7102,4.4478,4.6946,6.51
23.901571,1.1603,5.0328,4.3350,6.74
23.904963,0.6161,4.8258,3.8265,6.19
23.918090,-0.0326,3.7735,3.5342,5.17
23.925252,-0.5935,2.2734,3.5819,4.28
23.935292,-0.9627,0.7712,3.7205,3.92
23.951324,-0.9009,-0.4944,3.8846,4.02
23.954916,-0.8353,-1.3704,4.1626,4.46
23.967902,-0.8437,-1.7898,4.0083,4.47
23.975473,-0.6626,-1.7731,3.3216,3.82
23.984974,-0.5430,-1.3793,2.8130,3.18
24.001117,-0.2749,-0.8834,2.6535,2.81
24.004665,0.1888,-0.4688,2.5844,2.63
24.018238,0.7109,-0.1364,2.4811,2.58
24.024555,1.2995,0.0621,2.4159,2.74
24.035261,1.8950,0.1418,2.3655,3.03
24.051517,2.5613,0.1472,2.3134,3.45
24.054667,3.0801,-0.0782,2.1918,3.78
24.068388,3.5299,-0.3988,1.9675,4.06
24.075089,3.8840,-0.6556,1.5516,4.23
24.085467,4.1168,-0.9766,1.1541,4.39
24.101305,4.4235,-1.3992,0.5124,4.67
24.104672,5.3050,-2.0035,-3.3510,6.59
24.117783,5.5643,-2.1098,-4.4556,7.43
24.124986,4.8989,-1.9751,-2.5482,5.86
24.135058,4.2492,-1.8715,-1.1201,4.78
24.151189,3.8189,-1.8195,-0.7455,4.30
24.154261,3.4267,-1.6441,-0.9561,3.92
24.167775,2.8591,-1.3182,-1.3947,3.44
24.175278,2.0234,-0.8738,-1.8190,2.86
24.193219,1.0688,-0.3838,-2.1229,2.41
24.195411,0.4161,-0.0805,-2.1699,2.21
24.209130,0.1524,0.0682,-1.8595,1.87
24.224875,0.1642,0.1095,-1.5304,1.54
24.224995,0.1998,0.1112,-1.1921,1.21
24.240763,0.1370,0.0787,-0.9875,1.00
24.256644,0.0608,0.0932,-0.8909,0.90
24.256752,-0.0144,0.0973,-0.8323,0.84
24.272473,-0.0596,0.1240,-0.7746,0.79
24.274835,-0.1032,0.2543,-0.8142,0.86
24.288310,-0.1154,0.3108,-0.8744,0.94
24.304378,-0.0180,0.3935,-0.9974,1.07
24.304620,0.0796,0.5071,-1.0900,1.20
24.320148,0.1545,0.6515,-1.2646,1.43
24.323911,0.2510,0.5544,-1.4040,1.53
24.336349,0.3883,0.3264,-1.5877,1.67
24.344084,0.4802,0.0495,-1.7761,1.84
24.354450,0.5403,-0.3333,-1.9546,2.06
24.368407,0.6303,-0.7164,-2.0422,2.25
24.375106,0.7250,-1.0802,-2.0187,2.40
24.385044,0.7842,-1.4047,-1.8826,2.48
24.401387,0.8203,-1.6273,-1.6863,2.48
24.404561,0.7893,-1.7956,-1.5169,2.48
24.417871,0.7717,-1.8718,-1.3915,2.46
24.424940,0.7334,-1.9477,-1.3116,2.46
24.435404,0.6600,-2.0201,-1.3340,2.51
24.451491,0.6425,-2.1284,-1.5612,2.72
24.453749,0.6097,-2.2541,-1.9840,3.06
24.468085,0.6869,-2.4440,-2.4124,3.50
24.474172,0.6749,-2.6349,-2.8270,3.92
24.484740,0.6514,-2.8062,-3.2236,4.32
24.501272,0.6033,-2.9377,-3.6144,4.70
24.503682,0.5263,-3.0239,-4.0089,5.05
24.517808,0.3926,-3.4656,-4.2277,5.48
24.524191,0.4320,-4.4959,-3.9691,6.01
24.534241,0.7774,-5.5592,-3.2658,6.49
24.551181,1.4247,-5.8665,-2.5870,6.57
24.554149,2.1995,-5.1653,-2.3373,6.08
24.567710,2.5888,-3.8489,-2.3778,5.21
24.575327,2.6982,-2.5216,-2.3860,4.40
24.586012,2.5252,-1.1653,-2.2375,3.57
24.606401,2.2862,0.1235,-1.9286,2.99
24.606537,2.0512,1.2953,-1.6630,2.94
24.622045,1.7429,2.4296,-1.4437,3.32
24.623524,1.4178,3.3527,-1.4003,3.90
24.638067,1.0789,3.8292,-1.0054,4.10
24.655542,1.0239,3.6626,0.0024,3.80
24.655712,1.1874,2.8305,1.5090,3.42
24.672067,0.9749,1.7094,2.7542,3.38
24.674650,0.4262,0.4020,3.7437,3.79
24.690503,-0.3652,-0.8459,4.5788,4.67
24.706333,-1.0685,-1.9853,5.2234,5.69
24.706446,-1.6091,-2.8514,5.7301,6.60
24.722795,-1.9517,-3.3322,6.2306,7.33
24.724249,-2.2273,-3.2870,6.3180,7.46
24.738651,-2.3660,-2.6250,5.7951,6.79
24.755040,-2.1156,-1.8419,3.9361,4.83
24.755141,-0.8377,-1.7173,-1.2062,2.26
24.771308,-0.6507,-1.2897,-1.9190,2.40
24.774390,-1.1148,-0.5413,-0.6202,1.39
24.786823,-1.1570,0.1079,0.8186,1.42
24.803022,-0.7067,0.5850,2.1703,2.36
24.804369,-0.2817,0.4721,2.2673,2.33
24.819314,-0.3237,0.0728,1.7237,1.76
24.824417,-0.2646,-0.3922,1.3996,1.48
24.835030,-0.3130,-0.5372,1.3792,1.51
24.851339,-0.3430,-0.4072,1.8592,1.93
24.854059,-0.1747,-0.0836,2.3512,2.36
24.867759,-0.0762,0.5721,2.6055,2.67
24.874431,-0.3059,1.5490,2.6114,3.05
24.884604,-0.8996,2.7148,2.3352,3.69
24.900784,-1.4865,3.8940,2.0464,4.64
24.904333,-1.7274,4.7209,1.8697,5.36
24.917249,-1.8075,5.2337,1.7883,5.82
24.924661,-1.7233,5.3812,1.7955,5.93
24.934422,-1.7886,5.3576,1.7903,5.93
24.950488,-1.8374,5.1653,1.8154,5.78
24.954755,-1.7787,4.8775,1.8907,5.53
24.967571,-1.5526,4.4196,1.9885,5.09
24.974281,-1.1531,3.8555,2.0442,4.51
24.984742,-0.6716,3.1966,1.9231,3.79
25.000678,-0.1757,2.5919,1.6224,3.06
25.004093,0.3092,1.9883,1.2117,2.35
25.017162,0.8018,1.3325,0.7892,1.74
25.024508,1.2456,0.5953,0.2896,1.41
25.034615,1.5612,-0.2143,-0.3144,1.61
25.050503,1.7282,-0.9449,-0.9301,2.18
25.053830,1.7555,-1.5692,-1.4847,2.78
25.067042,1.6708,-2.1218,-2.1602,3.46
25.074243,1.6005,-2.5898,-3.2653,4.46
25.084091,1.5774,-2.9984,-4.8514,5.92
25.100090,1.8278,-3.4019,-6.4031,7.48
25.104298,2.3850,-3.5037,-7.0959,8.27
25.116801,3.1512,-3.4104,-7.2309,8.59
25.124018,3.8201,-2.9836,-7.0897,8.59
25.134033,4.0636,-2.2493,-6.5133,8.00
25.149961,4.2409,-1.3123,-5.8215,7.32
25.154512,3.9592,-0.6650,-4.6472,6.14
25.166630,2.3157,-1.6974,-3.8207,4.78
25.175191,-0.2341,-3.9981,-1.4050,4.24
25.184120,-2.9127,-6.4865,2.0820,7.41
25.200263,-5.7912,-8.2551,6.1179,11.79
25.203982,-7.5987,-9.1352,7.8510,14.24
25.216716,-8.2114,-9.3469,7.7602,14.66
25.223930,-6.3110,-6.4688,6.5302,11.15
25.234260,-4.6250,-1.4792,5.1878,7.11
25.250484,-3.7939,2.4423,4.1411,6.12
25.254262,-2.9273,5.2640,3.5869,7.01
25.267439,-1.8851,7.0675,3.0851,7.94
25.274322,-0.8086,8.2479,2.7911,8.74
25.284590,-0.2456,8.9230,2.4786,9.26
25.300788,0.0036,9.1429,2.2489,9.42
25.303858,-0.0707,8.6988,2.0964,8.95
25.316782,-0.4277,7.2157,2.2468,7.57
25.324440,-1.1306,5.3422,2.5798,6.04
25.334115,-1.8834,3.3049,2.7220,4.68
25.350633,-2.5484,1.3386,3.1167,4.24
25.354938,-3.0773,-0.4188,3.5299,4.70
25.370812,-3.1325,-1.7904,3.7822,5.23
25.374653,-2.8687,-2.5606,3.8645,5.45
25.387376,-2.4971,-2.6765,3.8787,5.33
25.403422,-2.3408,-2.0907,3.8187,4.94
25.404205,-2.2205,-1.2267,3.5709,4.38
25.419145,-1.8199,-0.4555,3.2696,3.77
25.423897,-1.2526,0.2116,2.9421,3.20
25.435177,-0.5887,0.6595,2.5313,2.68
25.451642,0.0134,0.8743,2.0718,2.25
25.454298,0.4754,0.9092,1.6888,1.98
25.468097,1.0138,0.7412,0.8495,1.52
25.474653,2.2992,0.0408,-2.8143,3.63
25.484528,3.5882,-1.1121,-5.1078,6.34
25.500746,4.4817,-2.0729,-4.6731,6.80
25.503818,4.0964,-2.5875,-2.8082,5.60
25.516901,2.7738,-2.5100,-0.7100,3.81
25.523752,1.5546,-2.2684,0.4983,2.79
25.533726,1.0809,-1.9528,0.5427,2.30
25.549612,0.9451,-1.4184,0.5233,1.78
25.554293,1.1253,-0.7923,0.5257,1.47
25.566316,1.4233,-0.2764,0.5145,1.54
25.578245,1.8171,0.1301,0.6092,1.92
25.586785,2.1736,0.4237,0.6850,2.32
25.604018,2.3342,0.5824,0.6746,2.50
25.604241,2.3760,0.5839,0.6843,2.54
25.619698,2.3119,0.4675,0.7673,2.48
25.623695,2.1840,0.2906,1.5317,2.68
25.635284,1.9086,0.0238,2.9332,3.50
25.653653,1.3290,-0.2888,1.6506,2.14
25.654759,0.6815,-0.7665,-0.9018,1.37
25.671347,0.1309,-1.3689,-4.8258,5.02
25.673937,-0.2876,-1.9373,-10.0228,10.21
25.687701,-0.2257,-2.3973,-10.9417,11.20
25.703852,0.5048,-2.7481,-7.8321,8.32
25.704724,1.5367,-3.0335,-4.2767,5.46
25.719680,2.2082,-3.0770,-2.4565,4.51
25.723821,2.1406,-2.5657,-1.9012,3.84
25.735604,2.1040,-1.8598,-1.0624,3.00
25.752186,2.4799,-1.2859,0.1244,2.80
25.811044,2.5785,-0.9559,-0.2666,2.76
25.824662,2.0115,-5.7048,-3.6591,7.07
25.836641,2.5550,-4.8821,-2.6124,6.10
25.869696,2.2564,-3.2113,-1.8234,4.33
25.889817,0.7233,1.4677,1.6924,2.35
25.906821,0.2634,1.3287,2.9156,3.21
25.906984,-0.5396,0.8017,3.7923,3.91
25.924046,-1.4406,0.0035,4.5203,4.74
25.924158,-2.4033,-0.8339,5.1500,5.74
25.940219,-3.1831,-1.6547,5.6157,6.66
25.956542,-3.4859,-2.2113,5.8756,7.18
25.956659,-3.5789,-2.5815,5.6878,7.20
25.972722,-3.8416,-2.7574,4.1885,6.32
25.973697,-3.4701,-2.1994,1.9735,4.56
25.991372,-2.7472,-1.1868,-0.7036,3.07
26.006474,-1.9947,-0.1414,-3.0802,3.67
26.006585,-1.6439,0.8002,-3.2537,3.73
26.022741,-1.6315,1.8460,-1.8580,3.09
26.023646,-1.7782,2.6527,0.1412,3.20
26.038827,-2.0807,2.9373,1.6820,3.97
26.054585,-2.4427,2.9531,2.3570,4.50
26.054685,-2.8569,2.8647,2.5133,4.76
26.070677,-3.3205,2.7730,2.7412,5.12
26.074054,-3.7335,2.8646,3.1323,5.65
26.086581,-4.0758,3.0014,3.4082,6.10
26.102707,-4.1930,3.1698,3.3540,6.24
26.104343,-3.9459,3.3127,3.0218,5.97
26.118881,-3.4968,3.5309,2.5527,5.59
26.123528,-2.8698,3.6994,2.0845,5.13
26.134867,-2.0990,3.7896,1.7159,4.66
26.151088,-1.3283,3.7209,1.2568,4.15
26.153423,-0.7123,3.5527,0.9085,3.74
26.167189,-0.2138,3.2680,0.7611,3.36
26.174455,0.1340,2.9508,0.6834,3.03
26.184024,0.3765,2.6131,0.7393,2.74
26.200070,0.6768,2.2469,0.9157,2.52
26.203401,0.9806,1.8960,1.1230,2.41
26.216128,1.3291,1.5223,1.0961,2.30
26.223767,1.5554,1.1779,0.8835,2.14
26.234347,1.7654,0.8902,0.5595,2.05
26.249893,1.9776,0.5127,-0.0059,2.04
26.253372,2.1602,0.1141,-0.8396,2.32
26.266066,2.2536,-0.3551,-1.5660,2.77
26.273819,2.2156,-0.7679,-2.0847,3.14
26.283681,2.0655,-1.2506,-2.4130,3.41
26.299306,1.7379,-1.6704,-2.8064,3.70
26.303290,1.3532,-2.0663,-3.3817,4.19
26.315931,1.0002,-2.4110,-4.1474,4.90
26.323781,0.7299,-2.5668,-5.0899,5.75
26.333426,0.4694,-2.5007,-5.8835,6.41
26.348873,0.3191,-2.1398,-5.9363,6.32
26.353885,0.0972,-1.4182,-4.8145,5.02
26.365488,-0.3234,-0.3972,-3.5453,3.58
26.374628,-0.6150,1.0033,-3.0579,3.28
26.383500,-0.6004,2.5214,-3.0847,4.03
26.399318,-0.6979,3.2832,-2.8412,4.40
26.403262,-1.4481,2.1728,-1.6363,3.08
26.415662,-2.8469,-0.6866,0.4473,2.96
26.423717,-4.4101,-4.5103,3.4147,7.17
26.433573,-6.1490,-8.2781,6.5288,12.20
26.449224,-7.9276,-10.8143,8.1271,15.68
26.453283,-8.9981,-11.7485,7.6517,16.66
26.465709,-6.6933,-8.7562,5.9107,12.51
26.473848,-4.1172,-3.3438,4.5535,6.99
26.483441,-2.5153,0.6427,3.7327,4.55
26.498771,-1.4147,3.5338,3.0009,4.85
26.503336,-0.3084,5.4935,2.5968,6.08
26.515591,0.6482,7.0405,2.5456,7.51
26.523548,1.4923,8.1200,2.5946,8.65
26.533127,2.0514,8.7488,3.0463,9.49
26.548563,2.3931,9.0004,4.2257,10.23
26.553182,2.4325,7.8881,5.2343,9.77
26.565139,1.8258,5.7561,5.0738,7.89
26.574213,0.7343,3.5149,4.9482,6.11
26.585714,-0.3818,1.1347,5.2483,5.38
26.600533,-1.3377,-1.2568,5.4093,5.71
26.603201,-1.6401,-3.2213,5.6769,6.73
26.617991,-1.0213,-4.3956,6.0164,7.52
26.623214,0.4280,-4.3233,5.9445,7.36
26.633759,0.8068,-3.1443,5.7265,6.58
26.649746,0.3620,-1.8403,5.1944,5.52
26.660530,0.1129,-0.6903,4.2991,4.36
26.671385,0.2322,0.0331,3.2223,3.23
26.673547,0.6095,0.4386,2.2755,2.40
26.687278,0.9567,0.5175,1.4738,1.83
26.704734,1.3662,0.3048,0.8410,1.63
26.704874,1.8432,-0.0780,0.4277,1.89
26.721560,2.0391,-0.7007,-4.1254,4.65
26.723317,3.0991,-2.3685,-13.6917,14.24
26.737892,3.4898,-3.0118,-7.3576,8.68
26.754222,3.3693,-2.8929,-3.1859,5.47
26.754317,3.1248,-2.3058,-1.1445,4.05
26.770181,2.9176,-1.5408,-0.2929,3.31
26.774236,2.9333,-0.9389,0.0267,3.08
26.786006,2.5515,-0.2780,0.1014,2.57
26.802219,2.0657,0.5750,0.1077,2.15
26.803195,1.6059,1.1591,0.2331,1.99
26.818412,1.2149,1.3872,0.3744,1.88
26.823054,0.8044,1.3687,0.4667,1.65
26.834689,0.4338,1.1463,0.5365,1.34
26.850964,0.1847,0.7148,0.4365,0.86
26.853038,-0.0173,0.2133,0.0594,0.22
26.866919,-0.4541,-0.1903,-0.5814,0.76
26.873258,-1.0234,-0.5009,-1.6578,2.01
26.883567,-1.5684,-0.6952,-3.3855,3.80
26.899416,-1.9675,-0.8112,-5.3009,5.71
26.903225,-2.0082,-0.9714,-6.4051,6.78
26.915571,-1.5912,-1.1343,-6.1743,6.48
26.923587,-0.8409,-1.2595,-4.8967,5.13
26.933197,-0.0453,-1.4331,-3.3441,3.64
26.948837,0.6542,-1.8141,-2.1563,2.89
26.953689,1.1012,-2.3991,-1.2348,2.91
26.965456,1.6061,-2.8921,-0.6080,3.36
26.974040,1.9794,-3.0727,-0.1935,3.66
26.982929,2.0293,-2.6977,0.1108,3.38
26.998228,1.9615,-2.0087,0.0376,2.81
27.003079,1.8840,-1.1906,-0.5323,2.29
27.014771,1.8336,-0.4895,-1.4751,2.40
27.023308,1.6729,-0.0586,-3.0283,3.46
27.033556,1.4545,-0.2341,-5.0007,5.21
27.048783,0.9874,-1.7171,-6.4372,6.74
27.053492,0.5443,-4.0208,-6.2856,7.48
27.066001,0.4222,-5.5444,-5.2148,7.62
27.073207,0.6666,-5.8836,-4.6442,7.53
27.083098,1.1952,-5.0990,-4.4881,6.90
27.099080,1.9991,-4.0263,-3.9206,5.96
27.102995,2.6581,-3.2614,-2.7642,5.03
27.115610,2.9714,-2.2475,-1.6809,4.09
27.123234,2.9578,-1.0690,-0.8518,3.26
27.132977,2.6658,-0.1106,-0.2857,2.68
27.149201,2.1784,0.3783,0.4896,2.26
27.153227,1.5599,0.5269,1.3091,2.10
27.165987,0.8477,0.1917,2.1196,2.29
27.173916,0.1039,-0.4886,3.0181,3.06
27.182920,-0.5336,-1.3937,3.7418,4.03
27.198245,-1.1294,-2.3361,4.8654,5.51
27.203139,-1.6611,-2.9789,5.8157,6.74
27.214912,-1.7953,-3.2524,6.2049,7.23
27.223161,-1.2595,-3.0291,6.3360,7.13
27.233144,-0.1398,-2.4149,5.6136,6.11
27.248845,0.5317,-1.7931,4.5531,4.92
27.252193,0.7806,-1.1830,2.6624,3.02
27.265262,1.0159,-0.8806,-0.9339,1.64
27.272738,1.0447,-0.5449,-3.1243,3.34
27.282247,0.4620,-0.1972,-2.8119,2.86
27.298016,-0.3654,0.1164,-1.2533,1.31
27.303671,-1.3630,0.3633,0.3029,1.44
27.315197,-1.9220,0.3987,1.4602,2.45
27.323196,-2.1697,0.3173,2.5009,3.33
27.332512,-2.4428,0.1416,3.3529,4.15
27.348141,-2.6992,-0.0644,3.0351,4.06
27.352646,-3.0687,-0.1115,1.9064,3.61
27.364583,-3.6215,0.2959,0.9742,3.76
27.372721,-4.1715,0.9943,0.6906,4.34
27.382419,-4.4976,1.8856,0.9881,4.98
27.397624,-4.4482,2.8305,1.5562,5.50
27.402126,-4.2474,3.7202,2.0189,6.00
27.417781,-4.1125,4.5140,2.4161,6.57
27.422893,-3.9158,5.1712,2.6824,7.02
27.433158,-3.5640,5.6281,2.8105,7.23
27.445821,-3.2162,5.8926,2.8220,7.28
27.452944,-2.8826,5.9631,2.5490,7.10
27.463353,-2.6231,5.8079,2.0528,6.70
27.473268,-2.1607,5.5235,1.6470,6.16
27.483444,-1.6841,5.0392,1.4868,5.52
27.500815,-1.3394,4.5096,1.5954,4.97
27.502802,-0.8798,3.9349,1.8180,4.42
27.517025,-0.4460,3.4255,1.9469,3.97
27.522860,-0.0033,2.8908,1.9575,3.49
27.533593,0.3287,2.2783,1.8454,2.95
27.549078,0.5782,1.6307,1.5924,2.35
27.552575,0.8172,0.8519,1.1093,1.62
27.565048,1.0023,-0.0350,0.3895,1.08
27.573598,1.1848,-0.9549,-0.6437,1.65
27.582684,1.6499,-2.0670,-1.2198,2.91
27.604055,-0.3619,-4.8451,-0.6752,4.91
27.604684,-24.1757,-51.0573,13.6729,58.12
27.620572,14.6639,6.4934,-20.0437,25.67
27.622557,16.2456,8.7717,-13.7865,23.04
27.637219,15.4217,9.4545,-9.5366,20.45
27.653107,12.9838,7.9938,-6.5271,16.59
27.653207,8.9166,5.4490,-3.9795,11.18
27.669039,6.3567,3.7880,-2.5795,7.84
27.673501,4.3557,2.1668,-0.8578,4.94
27.686390,2.0611,0.2027,1.3635,2.48
27.703535,-0.9066,-2.6260,3.0295,4.11
27.703680,-3.8571,-6.3166,3.9335,8.38
27.720332,-6.9681,-10.2682,4.7697,13.29
27.722619,-9.6684,-13.7173,5.8295,17.77
27.736335,-10.8897,-16.0941,7.1518,20.71
27.752547,-9.4199,-16.7845,7.2214,20.56
27.754099,-5.4962,-13.3340,5.6424,15.49
27.768390,-3.4368,-6.7729,4.0432,8.60
27.784502,-2.7436,-1.3720,3.2579,4.47
27.785451,-1.8716,2.3937,2.7717,4.11
27.800445,-0.8091,5.1088,2.2166,5.63
27.802637,-0.0063,7.1372,1.5091,7.29
27.816247,0.5063,8.4520,0.9261,8.52
27.822637,0.7540,9.2178,0.5642,9.27
27.833029,0.9387,9.6657,0.4153,9.72
27.848510,0.7123,9.6678,0.3848,9.70
27.852555,-0.1947,8.7572,0.6293,8.78
27.864820,-0.8458,6.9886,1.0746,7.12
27.872721,-1.8100,5.2396,1.5433,5.75
27.882639,-2.8155,3.4102,1.9399,4.83
27.897702,-3.8722,1.4425,2.2801,4.72
27.902604,-4.6282,-0.4156,2.6416,5.35
27.914735,-4.4824,-1.8303,2.8423,5.61
27.923003,-3.3652,-2.7195,2.6629,5.08
27.932472,-2.2818,-2.9556,2.5622,4.53
27.951706,-1.9056,-2.4407,2.5411,4.01
27.956044,-2.0271,-1.4110,2.3060,3.38
27.966415,-1.9405,-0.5885,1.9336,2.80
27.981987,-1.5700,-0.0051,1.5287,2.19
27.982745,-0.5091,0.3188,0.7223,0.94
27.997880,0.9131,0.2973,-0.4787,1.07
28.002450,2.0146,-0.2458,-1.7436,2.68
28.014126,2.8067,-0.9245,-2.4486,3.84
28.022765,2.9409,-1.4427,-2.3316,4.02
28.032531,2.3974,-1.6974,-1.4743,3.29
28.047392,1.7287,-1.5594,-0.3212,2.35
28.052212,1.2958,-1.3084,0.3166,1.87
28.063833,1.3314,-1.0620,0.3920,1.75
28.073026,1.6383,-0.7499,0.4587,1.86
28.082299,1.9488,-0.4345,0.6730,2.11
28.099564,2.2914,-0.1159,0.8729,2.45
28.102382,2.4832,0.1819,0.8434,2.63
28.119021,2.7384,0.4115,0.7640,2.87
28.123606,2.9928,0.5592,0.7146,3.13
28.133613,3.1148,0.6548,0.7551,3.27
28.149698,3.0654,0.6650,0.7755,3.23
28.152911,2.9076,0.5658,1.2617,3.22
28.165455,2.7041,0.3224,2.3209,3.58
28.181646,2.4203,-0.1875,1.8330,3.04
28.182451,2.0348,-0.7363,0.2411,2.18
28.197797,1.6016,-1.2429,-1.0258,2.27
28.202367,1.4545,-1.6780,-1.9405,2.95
28.214033,1.0249,-2.1737,-4.5928,5.18
28.222757,0.3618,-2.7143,-9.8689,10.24
28.232729,0.1267,-3.0375,-10.9662,11.38
28.247540,0.5792,-3.1314,-7.9501,8.56
28.252629,1.5132,-2.9787,-4.4104,5.53
28.263955,2.2260,-2.5699,-2.0269,3.96
28.272961,2.2116,-1.8736,-0.6172,2.96
28.282231,1.9390,-0.9723,0.8691,2.34
28.297426,1.5916,-0.5052,0.9849,1.94
28.302218,1.3184,-0.3423,-0.7930,1.58
28.313578,1.1004,-0.2765,-2.7980,3.02
28.322707,0.6562,-0.8452,-5.2911,5.40
28.332382,0.3123,-2.8321,-6.7201,7.30
28.346863,0.5494,-5.0262,-5.8547,7.74
28.353020,1.3668,-6.6413,-4.2942,8.03
28.363622,2.0230,-7.5759,-3.4214,8.56
28.380039,2.5856,-7.8818,-2.8454,8.77
28.382664,2.8886,-7.3591,-2.2914,8.23
28.396459,2.5280,-5.4138,-1.7060,6.21
28.402328,1.6930,-2.9759,-1.3995,3.70
28.412894,1.2048,-0.9707,-0.9637,1.82
28.422520,0.9599,0.5702,-0.3822,1.18
28.432522,0.5808,1.6944,0.3605,1.83
28.447424,0.1738,2.3306,1.3104,2.68
28.452181,-0.3398,2.4270,2.2400,3.32
28.463733,-0.9446,1.9041,3.0146,3.69
28.472694,-1.5400,0.9561,3.7981,4.21
28.482443,-2.3253,-0.1558,4.4831,5.05
28.497189,-3.1585,-1.2221,4.6962,5.79
28.501497,-3.9508,-2.2828,3.9845,6.06
28.513048,-4.1280,-3.2310,2.6235,5.86
28.521877,-3.7457,-3.3840,1.4528,5.25
28.531588,-2.8484,-2.6553,0.2072,3.90
28.546322,-1.6724,-1.6440,-0.5870,2.42
28.552116,-0.9976,-0.6217,-0.5169,1.28
28.563179,-0.8691,0.4018,0.2840,1.00
28.579751,-0.9212,1.1503,1.4784,2.09
28.581742,-0.9500,1.6254,2.6739,3.27
28.592781,-0.8140,1.8784,3.8226,4.34
28.601860,-0.5355,1.9651,4.6359,5.06
28.635160,-0.5467,1.9265,4.9478,5.34
28.651379,0.0177,1.1511,3.4266,3.61
28.668044,0.2799,0.9994,2.1661,2.40
28.672482,0.3198,1.0975,2.0122,2.31
28.685521,0.3334,1.3204,2.0034,2.42
28.701918,0.3587,1.6149,1.8951,2.52
28.702007,0.3305,2.0194,1.7954,2.72
28.719829,-0.2123,2.6534,1.7932,3.21
28.722341,-0.8106,3.4261,1.9328,4.02
28.732411,-1.1096,4.0611,2.1191,4.71
28.744182,-1.2129,4.4696,2.2767,5.16
28.752996,-1.1103,4.5582,2.4793,5.31
28.762310,-0.8317,4.2287,2.5342,5.00
28.780514,-0.7969,3.7704,2.4655,4.57
28.781955,-0.7001,3.1315,2.1842,3.88
28.797032,-0.4840,2.4021,1.6514,2.95
28.802028,-0.0754,1.6618,0.8528,1.87
28.813233,0.3787,0.9566,-0.0156,1.03
28.822408,0.7135,0.2227,-0.8646,1.14
28.832317,0.9348,-0.5078,-1.7460,2.04
28.846381,1.1059,-1.2222,-2.7509,3.21
28.852402,1.3574,-1.9117,-3.9737,4.61
28.862992,1.6143,-2.4340,-4.9992,5.79
28.872089,1.8658,-2.7367,-5.5088,6.43
28.881958,2.2010,-2.7707,-5.5428,6.58
28.896158,2.6814,-2.5667,-5.2510,6.43
28.901974,2.9912,-2.2071,-4.8325,6.10
28.913082,3.2897,-1.8082,-4.5709,5.91
28.922252,3.7461,-1.3779,-4.2376,5.82
28.932024,4.1937,-0.5810,-3.5062,5.50
28.945694,4.3999,0.5672,-2.6220,5.15
28.952988,4.1021,1.2572,-1.0264,4.41
28.963039,2.8532,0.0986,0.9229,3.00
28.979162,0.2250,-2.6659,3.4451,4.36
28.981770,-2.6965,-5.4861,5.5769,8.27
28.995763,-4.8543,-8.1178,7.1134,11.83
29.001986,-7.0229,-10.8287,7.5400,14.95
29.012380,-8.0299,-12.8653,7.7269,17.02
29.022602,-5.8570,-11.4682,6.7735,14.55
29.032031,-3.1520,-6.0143,5.2060,8.56
29.046348,-2.3687,-0.9631,4.2424,4.95
